车辆编号,进入时刻 (秒),速度 (米/秒),离开时刻 (秒),停留时间
145,729.09,10.13,778.46,49.37
146,733.97,14.81,767.72,33.75
147,739.48,12.04,780.99,41.51
148,745.34,10.87,791.36,46.01
149,749.87,12.75,789.09,39.23
150,754.21,13.57,791.05,36.84
151,757.95,14.77,791.80,33.84
152,763.87,13.69,800.40,36.52
153,770.99,12.10,812.32,41.33
154,777.03,11.24,821.51,44.49
155,783.29,10.07,832.93,49.64
156,787.58,10.58,834.84,47.26
157,793.03,12.37,833.45,40.42
158,798.80,10.49,846.47,47.67
159,800.56,10.87,846.58,46.02
160,804.54,12.17,845.62,41.09
161,811.17,13.18,849.12,37.95
162,814.74,10.23,863.63,48.89
163,821.18,12.52,861.13,39.95
164,824.75,14.28,859.75,35.01
165,828.76,10.35,877.06,48.30
166,834.23,13.21,872.07,37.84
167,839.30,14.70,873.31,34.01
168,843.91,12.88,882.74,38.83
169,850.50,12.29,891.18,40.68
170,854.26,12.73,893.54,39.28
171,859.11,14.81,892.88,33.77
172,864.69,14.53,899.11,34.42
173,869.98,10.36,918.26,48.28
174,874.35,11.59,917.48,43.12
175,878.76,10.59,925.97,47.21
176,884.61,13.48,921.70,37.08
177,890.51,13.68,927.08,36.56
178,895.82,14.02,931.49,35.67
179,899.99,13.75,936.35,36.36
180,904.43,14.03,940.06,35.63
181,909.41,11.86,951.57,42.16
182,914.53,13.88,950.55,36.02
183,920.07,14.29,955.06,34.98
184,924.87,12.14,966.04,41.17
185,930.70,10.52,978.25,47.55
186,936.51,14.51,970.96,34.45
187,942.82,11.60,985.92,43.10
188,947.84,14.48,982.37,34.54
189,953.16,14.75,987.05,33.89
190,958.03,12.87,996.89,38.86
191,962.21,11.47,1005.82,43.61
192,969.31,11.64,1012.25,42.94
193,975.46,13.96,1011.29,35.82
194,981.26,13.95,1017.10,35.85
195,986.24,10.29,1034.84,48.60
196,990.35,12.75,1029.57,39.22
197,996.32,11.75,1038.86,42.54
198,1001.17,10.59,1048.41,47.24
199,1006.59,13.09,1044.78,38.19
200,1011.02,10.51,1058.62,47.59
201,1016.27,10.36,1064.51,48.24
202,1020.76,14.11,1056.20,35.44
203,1025.29,10.42,1073.26,47.97
204,1030.52,14.93,1064.01,33.48
205,1034.07,14.06,1069.63,35.55
206,1037.67,14.74,1071.60,33.93
207,1041.95,13.89,1077.96,36.01
208,1046.74,12.79,1085.82,39.09
209,1052.59,10.56,1099.96,47.37
210,1057.43,12.46,1097.55,40.12
211,1062.41,10.28,1111.05,48.63
212,1067.13,10.59,1114.32,47.20
213,1072.45,13.73,1108.86,36.42
